Date,Facebook_Impressions,Instagram_Impressions,YouTube_Impressions,Facebook_Clicks,Instagram_Clicks,YouTube_Clicks,Facebook_Engagements,Instagram_Engagements,YouTube_Engagements,Facebook_Conversions,Instagram_Conversions,YouTube_Conversions,Facebook_Revenue,Instagram_Revenue,YouTube_Revenue,Demographic_ID,Geo_ID,Region
01-01-22,117451,173401,295638,2368,8360,1320,8455,661,14805,519,916,88,3272.32,37468.46,15902.22,9,104,West
01-01-22,29265,353090,57535,9072,2478,2454,171,6086,9289,326,1036,410,39079.58,17564.9,3489.52,7,101,North
01-01-22,92060,354752,78450,5676,7703,879,5110,15459,1815,1235,41,600,9945.66,39590.86,26344.48,12,102,South
01-01-22,220351,269447,13289,2439,11318,1305,6011,1427,7832,264,540,1136,35988.96,18332.18,24637.86,7,101,North
01-01-22,112359,277757,34663,2002,2216,10438,4090,8282,11281,557,1048,305,24840.39,11122.14,19692.47,2,104,West
01-01-22,217829,226757,91460,4501,6104,1242,16582,843,797,207,1205,731,39356.13,28448.43,7418.44,6,105,Central
01-01-22,203708,88658,107662,1305,8694,4308,1403,577,18613,539,893,139,9784.49,37516.46,18884.05,7,102,South
01-01-22,133270,186583,146280,1475,6120,7934,16968,2157,4158,40,281,1657,11367.31,37533.77,25671.92,12,102,South
01-01-22,318451,192002,50286,3389,2726,8284,14711,2235,4842,299,1202,85,1454.13,19249.28,43913.59,1,102,South
01-01-22,56642,37897,487918,9865,2535,1833,4312,9384,8943,503,1097,46,40174.45,10783.66,27045.89,10,103,East
01-01-22,82654,85074,305455,11168,1014,2963,6351,15986,1244,384,1290,7,33427.45,16057.25,10498.3,8,104,West
08-01-22,268073,11173,131278,998,9358,4870,10751,7903,660,313,1237,204,12033.38,1839.28,45019.34,10,105,Central
08-01-22,15913,77239,314048,5343,2129,4604,7360,5827,2641,696,348,520,51908.41,23699.92,3213.67,1,104,West
08-01-22,377922,43704,71934,63,7295,3843,1335,14356,3174,1191,76,229,1683.26,23038.8,46497.94,4,104,West
08-01-22,38554,209373,216230,4107,5925,4050,6112,10966,7851,668,381,357,13609.96,50273.62,4952.42,6,103,East
08-01-22,166545,109863,247478,6822,5180,1775,3344,3500,13619,356,860,279,12243.85,29164.07,37973.08,8,103,East
08-01-22,26438,100700,279101,2704,311,10049,1095,12867,10903,600,365,791,51487.59,15814.15,2331.26,5,103,East
08-01-22,75036,192234,280059,3809,1968,4646,1867,9956,3425,227,1044,155,9628.01,9533.48,59993.51,9,103,East
08-01-22,221280,69933,243612,9264,4324,952,5707,5173,8553,92,304,1255,8460.66,7113.16,40988.18,8,105,Central
08-01-22,48353,123843,286803,4426,72,7472,8496,2461,6236,532,160,1145,15079.12,57632.06,2861.82,7,103,East
08-01-22,730,407782,27583,8051,4574,1199,12672,4487,557,260,254,1232,17121.23,82.75,54407.02,8,102,South
08-01-22,448771,46767,8927,703,6720,6309,7046,13478,2270,1129,280,39,8260.47,13218.69,54958.84,4,105,Central
08-01-22,118919,127490,326361,11610,2674,1130,4148,10830,2159,547,562,409,36480.89,12040.12,18885.99,11,104,West
08-01-22,262032,77594,91939,10994,1773,64,13895,4753,6294,818,836,477,12173.43,31036.24,28922.33,7,102,South
08-01-22,291747,90994,58401,653,3630,10492,14576,3133,4250,269,1170,221,23004.33,21597.23,35035.44,3,103,East
08-01-22,34298,104422,295080,1771,5881,3576,5336,8061,4215,41,360,931,25250.55,34725.06,13909.39,11,105,Central
08-01-22,114735,46214,319289,2464,7624,30,9740,5413,1448,1184,621,46,881.55,27537.02,29116.43,6,104,West
08-01-22,280344,98441,105640,12124,44,495,19568,2442,1534,1063,756,208,6120.8,9677.16,40808.04,10,105,Central
08-01-22,61732,91309,340435,6623,3766,3534,1424,611,18013,882,282,265,37255.38,28942.47,12363.15,9,102,South
08-01-22,344828,64874,16889,1983,1261,7202,18321,833,1216,152,745,481,18354.63,43306.08,7973.29,7,102,South
08-01-22,168122,135111,193704,2320,1361,8014,7752,7415,8113,917,259,943,13222.97,38623.15,19044.88,2,105,Central
08-01-22,430098,2992,130761,4258,5348,2036,13766,2555,322,742,291,708,5184.57,34997.1,29475.33,7,101,North
08-01-22,164338,232279,183492,6732,8830,79,11686,534,7761,256,655,1253,42078.22,1055.36,12649.42,5,101,North
08-01-22,310001,30824,243702,6634,4629,1512,3165,6913,9872,869,436,855,7011.89,3389.99,52484.12,11,104,West
08-01-22,24305,84114,349270,10403,637,3979,12624,5828,2342,1432,193,129,27626.82,5749.23,38098.95,9,101,North
08-01-22,306899,79987,190031,3058,875,7580,11793,4262,5072,44,1808,335,5339.53,31901.86,24420.61,1,105,Central
15-01-22,58738,15126,374695,1553,3412,6662,9592,13121,165,1468,57,141,16598.82,11804.81,28155.37,12,101,North
15-01-22,88447,285015,73029,5655,3752,1216,375,3161,14421,679,33,1095,2098.7,4657.4,72667.9,8,103,East
15-01-22,282990,68299,225523,7733,2007,3364,1416,6282,8150,278,7,1033,34773.71,1427.07,24485.22,7,102,South
15-01-22,115729,63430,295520,655,9284,3601,6194,4087,11303,408,1112,312,482.81,50699.78,24478.41,11,103,East
15-01-22,129565,113430,216928,1486,2932,6026,11421,2413,3778,42,124,1571,43994.99,10557.74,21711.27,10,105,Central
15-01-22,75598,245570,137454,4963,4445,2786,11665,1666,1699,1089,54,285,2473.26,8789.41,47486.33,9,103,East
15-01-22,141481,190805,220400,1157,2121,7945,5944,8976,299,285,581,458,7636.02,9778.56,39767.42,9,101,North
15-01-22,46179,148635,304773,7440,812,4506,6306,11864,1595,552,334,1130,17869,43704.61,13429.39,3,102,South
15-01-22,101427,86258,340209,418,8015,4512,448,17405,3965,639,301,1113,26902.09,15073.27,18337.64,4,104,West
15-01-22,34160,186569,339213,6563,3453,98,12363,1884,8516,373,700,1101,31470.64,14673.97,13668.39,10,102,South
15-01-22,372882,108554,78340,1147,3379,7433,9590,11826,1212,913,1053,58,41411.82,20206.16,12894.02,6,102,South
15-01-22,184786,337368,29448,8967,2739,795,10698,4165,3042,1089,1057,17,13759.68,1401.96,52510.36,9,102,South
15-01-22,397242,36945,151220,231,14041,1557,4061,12221,7900,951,403,777,13849.71,40609.87,3501.42,4,105,Central
15-01-22,301693,273916,9315,5018,710,8049,9271,5099,4262,679,739,731,41048.21,21057.08,12994.71,5,102,South
15-01-22,152203,45658,202626,7793,4375,393,4666,7413,6537,494,394,736,43853,6620.48,7978.52,1,105,Central
15-01-22,214845,132967,165086,4391,1573,9560,1898,11349,4276,741,57,523,24584.35,10361.35,39110.3,1,102,South
15-01-22,374257,18812,115945,9391,1880,3635,1917,14532,6553,436,223,832,17263.29,30749.17,13446.54,4,101,North
15-01-22,87316,160143,264182,4914,1315,5646,7220,8369,706,209,1507,293,49543.81,23780.01,624.18,10,103,East
15-01-22,55911,132386,218092,4579,5895,4442,4194,11017,7307,229,195,1161,25114.66,8622.79,35619.55,5,104,West
15-01-22,160411,76758,224971,4679,8125,2137,2063,49,22736,1230,21,617,18086.1,41349.37,17702.53,1,104,West
15-01-22,76136,30846,317144,5703,712,3767,12067,450,7618,1242,16,675,602.18,23257.14,31530.68,1,104,West
15-01-22,111179,201713,252282,719,3244,7194,866,18027,1615,632,75,922,22269.53,2037.53,51276.94,5,101,North
15-01-22,44327,366219,93560,2056,10791,2119,3756,14963,2991,338,811,184,34698.22,10740.88,25462.9,4,104,West
15-01-22,27413,454909,38182,1542,8117,4251,1134,14984,1250,1366,164,496,38037.11,9060.21,17456.68,7,105,Central
15-01-22,216296,124305,160961,2661,3342,4666,5571,9662,125,250,53,1423,60872.78,10559.13,8529.09,7,103,East
22-01-22,265044,107980,115434,2267,7451,1254,13282,7912,2394,101,509,958,40102.81,14320.81,7242.38,8,103,East
22-01-22,255567,206638,1902,1797,3473,9447,16729,191,6009,135,91,1791,32295.54,849.04,23549.42,12,102,South
22-01-22,131509,83954,264015,4939,303,7526,6241,15777,2309,171,450,1040,40562.93,33193.58,2695.49,3,102,South
22-01-22,32441,35512,338647,3859,1389,10652,12343,1413,3443,1186,525,47,10104.11,13060.49,38172.4,5,101,North
22-01-22,170943,145213,269863,5058,4470,864,1378,11836,10903,1051,859,14,35479.06,11474.71,19856.23,11,105,Central
22-01-22,343057,15432,213249,2974,3720,3794,1115,9501,5099,845,502,528,43116.92,4253.32,15660.76,8,104,West
22-01-22,304438,108588,73889,2798,3847,9135,670,7594,11234,252,162,1568,63533.38,2321.97,422.65,4,103,East
22-01-22,287770,56058,93850,11657,320,468,21514,927,2307,614,296,1179,6592.28,63493.09,4398.63,10,101,North
22-01-22,97761,143454,223831,6183,4026,4716,2179,9121,11334,406,195,1065,8778.53,29408.29,21195.18,2,104,West
22-01-22,163169,314248,76819,3803,9355,1685,7966,2048,7465,405,109,896,20216.75,1715.72,40514.53,5,101,North
22-01-22,256381,190294,31630,2410,2342,6245,10591,3622,3655,65,657,1049,23223.26,31384.16,15005.58,9,101,North
22-01-22,322990,96425,3390,7306,1052,7118,11933,736,3087,293,972,340,7666.72,46345.77,16509.51,10,102,South
22-01-22,206445,91145,263128,3781,9682,1203,10559,9990,2452,1407,46,512,36664.49,22978.07,1614.44,11,105,Central
22-01-22,389548,9114,196209,5035,528,5941,9182,2730,7138,764,1046,321,7236.29,30492.01,41659.7,11,105,Central
22-01-22,256160,120132,54567,2362,8228,1110,3641,1082,12874,9,967,584,26911.95,3798.59,29953.46,2,103,East
22-01-22,6254,367978,32936,3687,1124,7326,7806,4664,8160,516,930,240,26814.69,39918.63,3315.68,8,104,West
22-01-22,202601,23013,288146,4417,5816,4339,10629,3409,10937,886,159,836,2375.1,23960.6,47721.3,9,105,Central
22-01-22,139310,87195,245257,774,6847,4862,3026,1550,18970,597,363,566,9856.69,11068.1,47644.21,3,104,West
22-01-22,98527,22729,428823,704,5982,4044,6755,3074,9150,584,863,40,67224.18,5524.56,675.26,1,105,Central
22-01-22,110517,285806,200225,4382,517,10012,6352,8558,4477,359,432,796,5910.66,1440.76,54587.58,11,105,Central
22-01-22,153333,241446,128684,3647,4647,3452,5274,9287,9792,129,105,1270,32812.48,23830.28,1685.24,10,102,South
22-01-22,123435,137956,257954,195,4648,8139,6511,10683,1154,189,40,1645,11305.89,4934.03,40022.08,4,101,North
22-01-22,152877,136415,188166,8990,286,3035,3394,13589,3248,597,419,1015,17485.9,16253.83,24523.27,8,105,Central
22-01-22,303006,125602,131496,8005,2751,3468,2094,1306,11689,169,388,1187,11796.81,16176.68,39205.51,9,103,East
22-01-22,214939,182318,19786,11373,954,2711,14181,2726,1679,712,20,1264,26419.48,24025.87,12971.65,12,104,West
29-01-22,131403,66767,215827,963,6485,3499,5059,1377,17942,1428,415,149,11969.45,17749.46,34886.09,6,105,Central
29-01-22,284632,135002,73612,2328,6938,1619,5773,10337,3782,635,355,913,43847.51,15678.79,16153.7,12,103,East
29-01-22,80904,278195,162981,8505,2569,2462,8004,6881,1458,283,356,1141,7544.9,15345.51,34365.59,7,102,South
29-01-22,82198,98588,277958,1366,1608,7234,3643,18054,418,919,423,343,47051.77,5037.13,27281.1,4,103,East
29-01-22,169583,206620,117841,3820,2981,7705,549,13916,3054,880,61,641,30541.28,17956.59,11729.13,7,103,East
29-01-22,118305,148139,222778,4448,2644,5764,9148,14716,6,948,291,782,23095.33,26003.33,9462.34,5,105,Central
29-01-22,75405,89723,253856,5501,1694,6128,3778,9974,4710,350,627,428,66621.26,4861.31,33.43,10,101,North
29-01-22,151878,60930,213822,11228,2279,69,3571,14418,3890,587,858,316,21827.39,4350.66,36019.95,1,105,Central
29-01-22,12223,98097,440650,6726,4794,396,7505,3850,5459,195,1497,133,8253.1,62412.53,4303.37,12,102,South
29-01-22,367672,41065,46776,6767,2938,886,534,7201,9471,1215,395,243,9808.93,59347.7,9210.37,7,105,Central
29-01-22,75527,176368,277317,8465,205,1838,5950,10249,4227,723,85,534,10168.73,36901.42,21472.85,6,102,South
29-01-22,34104,393590,119752,292,3608,7941,6673,5409,3228,747,978,54,22770.47,23724.44,8987.09,2,102,South
29-01-22,259141,62462,140657,5097,1425,4673,1016,13767,2330,1021,234,295,25453.95,17554.23,32042.82,5,101,North
29-01-22,203961,14727,282627,2251,5895,2742,1963,8689,6380,659,854,499,65059.6,246.68,10542.72,7,105,Central
29-01-22,137708,7008,289654,5404,7556,1191,1173,3068,13186,208,702,1282,26255.29,10276.71,18928,10,102,South
29-01-22,327515,10907,222715,7046,2151,2281,11200,5689,2153,4,154,2034,5919.69,8277.13,52125.18,10,105,Central
29-01-22,339455,17994,57253,3571,2836,5142,1219,11270,4842,278,760,584,36143.89,1335.66,19348.45,7,104,West
29-01-22,192489,130287,217413,1638,8799,2901,16551,462,1014,631,547,523,3289.61,10010.08,54036.31,10,104,West
29-01-22,49106,486596,33644,3570,6188,5019,4843,9821,6142,1384,481,286,12.82,2710.74,60331.44,5,102,South
29-01-22,31899,4901,433867,7454,3322,944,7490,709,15143,258,668,1103,16280.3,1259.38,39703.32,6,105,Central
29-01-22,98316,74440,294076,3895,2709,4634,373,8729,11101,843,551,320,26135.36,15009.69,14877.95,9,104,West
29-01-22,282655,14379,136737,8589,5973,951,6504,4797,5704,1111,202,649,28654.06,5334.9,31359.04,3,102,South
29-01-22,85412,48705,340570,3118,1822,5796,7786,3981,10610,826,368,496,17588.56,32464.43,29678.01,9,103,East
29-01-22,10454,242877,186869,5760,1876,5006,6993,1634,11336,540,155,1018,10103.53,27680.7,22255.77,1,101,North
05-02-22,459951,65943,3964,4554,4900,2470,1070,5716,12561,592,452,266,22487.84,8386.56,37706.6,11,105,Central
05-02-22,170890,212308,58900,4024,6345,3498,1578,10097,10805,20,1576,401,4267.82,3733.53,49839.65,11,102,South
05-02-22,70427,2338,419571,2537,1909,5608,10914,9298,2717,841,682,93,14384.11,16007.07,48083.82,6,101,North
05-02-22,185775,241280,144864,11389,1279,1591,13530,3234,5027,228,831,467,12752.24,43240.58,3371.18,7,102,South
05-02-22,162871,81204,321658,10531,2528,1384,2387,9797,9577,113,539,1474,9400.99,30667.57,27118.44,2,103,East
05-02-22,80910,145965,198175,2807,379,10779,1390,2618,17740,535,204,1327,5705.26,8521.16,54854.58,8,104,West
05-02-22,104232,69869,253262,1931,5021,3651,3066,19364,1519,30,1357,484,39681.44,9536.4,9676.16,2,102,South
05-02-22,284191,102916,162762,8415,3294,2424,7663,3854,11856,257,62,1075,59880.24,1861.73,16048.03,8,105,Central
05-02-22,6974,10539,485480,3140,5871,1078,2177,1927,17062,444,70,952,2699.59,1227.68,75053.73,3,103,East
05-02-22,134765,33290,260126,7918,4500,217,4914,3710,14729,948,380,536,1171.74,1726.63,58460.63,6,103,East
05-02-22,308217,18439,231548,2254,8758,1711,18246,1962,2657,487,1016,627,28659.92,22654.93,24964.15,11,101,North
05-02-22,366453,84717,64665,8208,3524,3089,11351,2330,7169,315,583,596,17895.72,1249.73,46174.55,8,104,West
05-02-22,422645,43950,53234,1386,5285,5667,2493,2587,10720,195,1647,52,15851.58,655.61,42319.81,7,101,North
05-02-22,228993,159856,124637,364,12685,1939,2221,7622,12825,31,396,1187,5923.37,21248.67,39025.96,12,105,Central
05-02-22,107347,257543,42515,5118,2832,2070,3613,6270,10065,570,603,159,28561.74,24953.36,8032.9,5,104,West
05-02-22,382704,148638,57851,2029,2157,10940,6676,7528,1598,1053,374,363,51138.92,9767.29,8640.79,5,104,West
05-02-22,90163,129632,291100,4834,5025,3611,1654,4119,12471,430,453,715,5840.5,13676.27,48777.23,10,105,Central
05-02-22,208434,21972,301393,41,1898,10127,7053,8535,64,119,874,956,7776.99,4465.82,44689.19,9,105,Central
05-02-22,201745,169681,79746,257,3939,10760,5651,9897,6544,487,227,1158,35869.62,20065.82,16331.56,7,104,West
05-02-22,183697,110583,296789,1270,4357,5039,13803,455,6817,380,133,979,43475.22,16196,8122.78,5,101,North
05-02-22,138273,13694,249385,9640,3903,1795,1981,10215,7940,797,1229,18,22788.47,26088.95,20609.58,2,102,South
05-02-22,15984,265118,310059,3286,5910,868,1604,8995,6850,222,299,1263,41432.01,5024.8,17966.19,8,102,South
05-02-22,7125,474063,4328,4318,5983,1438,120,1968,17873,182,394,1268,59517.96,2936.66,1586.38,4,105,Central
05-02-22,462,138388,433934,2105,3823,4488,10234,3356,4092,5,1604,267,24269.8,42738.59,7469.61,4,105,Central
12-02-22,12439,253540,268850,3337,4639,5629,5646,12659,4796,280,1053,788,3143.09,42029.11,27823.8,5,104,West
12-02-22,106890,149963,181501,6771,6333,167,4122,8733,6574,282,1006,258,45640.82,13229.01,15989.17,5,101,North
12-02-22,207540,5503,224379,7732,382,5643,7450,9859,5447,1368,293,2,7405.08,29028.66,24426.26,12,104,West
12-02-22,173903,171676,185459,613,2467,8795,16079,7647,470,214,342,788,17753.46,20270.35,21466.19,5,102,South
12-02-22,78972,174747,147850,5571,2903,5205,10793,1812,2712,1672,333,157,8415.36,52117.59,2725.05,12,102,South
12-02-22,325282,42257,197945,219,7357,2583,9444,2373,5220,9,1192,704,36259.6,8797.38,23367.02,1,105,Central
12-02-22,35432,265720,129995,1129,5517,3580,15330,711,4120,334,360,1334,520,28594.86,32346.14,2,105,Central
12-02-22,137094,161128,158145,2131,5835,2041,12314,285,3752,68,606,925,16811.93,38489.94,19958.13,10,105,Central
12-02-22,120259,6457,393412,149,13504,329,7533,29,8663,647,1115,89,23566.58,8828.03,41868.39,10,105,Central
12-02-22,298579,118587,65037,8242,76,4023,3092,10127,8877,769,674,211,20062.18,39544.85,2213.97,8,104,West
12-02-22,267456,143039,185172,10301,2143,1592,18644,2938,1544,1342,167,482,19071.36,42320.83,3527.81,12,103,East
12-02-22,55214,330557,99992,10471,2451,277,5213,1253,11740,280,523,724,35305.1,13283.17,29600.73,4,102,South
12-02-22,306638,128751,3636,6856,1671,1998,3961,7672,10318,436,1090,147,23848.9,35604.85,19476.25,4,104,West
12-02-22,252485,143861,155535,612,1556,10833,7869,7437,4347,314,1412,273,18407.93,22197.64,30447.43,6,102,South
12-02-22,12695,425743,56289,8621,4972,2201,9822,3884,2828,217,272,1702,12970.29,33537.67,20148.04,3,101,North
12-02-22,157254,126959,150392,216,8473,5633,7277,8088,3685,565,665,759,4143.64,70432.01,1889.35,3,103,East
12-02-22,358101,55287,64450,8352,2506,3599,7916,6211,3607,82,643,898,32088.59,30610.77,11267.64,7,101,North
12-02-22,179393,75460,196439,2918,1710,6809,444,9139,14667,805,435,165,27226.73,15958.4,35944.87,6,104,West
12-02-22,175076,321539,989,4817,93,6392,11595,4616,524,273,498,1161,1330.24,9897.08,51977.68,3,101,North
12-02-22,339270,167382,92443,1476,4320,5259,7276,7130,1698,1279,239,643,20148.93,10188.29,47457.78,8,104,West
12-02-22,72812,178804,219247,5139,3453,3616,11045,3341,728,300,1299,357,10177.9,19854.12,32485.98,12,104,West
12-02-22,182369,96458,222400,1341,12270,47,7450,1537,15777,1439,113,583,13160.28,17342.03,29453.69,10,103,East
12-02-22,208327,252128,48144,785,4337,5063,4009,11308,8154,407,904,661,22649.28,8871.72,46646,7,105,Central
12-02-22,188668,183292,39966,738,4385,7292,5834,119,9098,294,1394,446,27077.95,5112.13,30072.92,5,104,West
19-02-22,277719,126000,152311,8768,977,4457,5539,9257,1857,232,475,1485,29583.23,43883.82,3177.95,8,103,East
19-02-22,100817,162898,250891,12774,1620,93,246,8500,7111,1012,139,599,35416.45,8949.26,12033.29,4,103,East
19-02-22,141568,10614,346671,6147,697,4948,9240,9108,2608,479,211,1019,36440.74,36147.25,5286.01,1,105,Central
19-02-22,150085,338184,22038,5583,1925,3583,1388,17011,747,42,711,581,26350.79,5757.56,45010.65,12,104,West
19-02-22,378020,90010,11085,7193,3663,2304,1463,19909,340,12,1683,43,46233.91,1797.18,11312.91,8,101,North
19-02-22,22424,47460,501693,6725,2886,825,8272,9613,1731,556,677,184,21542.98,27721.07,13383.95,3,105,Central
19-02-22,379654,77907,136640,4113,3245,3106,1101,6358,14869,484,281,667,1946.45,47808.81,17971.74,9,104,West
19-02-22,255827,89073,236057,8577,643,4754,6984,9183,698,107,107,1461,13429.19,16772.1,27698.71,6,104,West
19-02-22,55205,388671,91084,13957,406,753,10543,9504,3167,119,770,1002,710.56,22425.83,51788.61,2,105,Central
19-02-22,30431,170131,328411,2032,5733,3217,1506,19025,882,1164,20,759,39180.65,34910.69,3995.66,11,101,North
19-02-22,67251,217942,184075,3061,3477,7325,7831,3364,4574,254,1794,88,16428.59,9319.67,31601.74,5,105,Central
19-02-22,372437,40004,38315,3394,8835,2544,15424,1972,7115,277,1248,254,4035.87,59881.36,12798.77,2,103,East
19-02-22,152483,228030,196433,5078,2731,5341,4075,3877,8440,659,356,849,9165.43,48938.05,4870.52,7,103,East
19-02-22,206872,138765,137527,13550,422,351,2350,7727,13601,526,725,484,48502.99,6070.54,4886.47,3,105,Central
19-02-22,111946,124186,240664,3647,2857,3748,9705,9264,3278,53,779,758,3301.25,547.37,74495.38,7,104,West
19-02-22,473,116765,473056,5743,6775,389,2596,1160,14206,1200,161,783,1205.99,28740.27,30021.74,3,102,South
19-02-22,10427,405506,7083,6608,2296,7041,16337,2396,790,825,83,1124,4661.98,22184.84,49379.18,11,104,West
19-02-22,202653,110213,245704,1145,6896,2479,12903,5853,1828,953,135,1094,4205.97,63161.29,9432.74,8,103,East
19-02-22,259732,81271,88442,2717,2952,5116,9182,733,7567,1212,29,257,20767.47,20906.84,24279.69,2,102,South
19-02-22,221370,172895,60014,16,2014,10513,12266,2811,4397,261,944,247,26938.16,47682.7,3295.14,10,101,North
19-02-22,307474,82684,111333,3691,2051,5720,673,13870,5683,107,144,1747,31092.07,931.74,38071.19,11,104,West
19-02-22,181424,84072,152596,6571,5291,1735,12315,3970,2340,855,461,144,9335.81,32558.75,19936.44,7,102,South
19-02-22,133188,63623,260145,103,6370,3916,3859,1238,11202,44,1505,636,42724.97,10445.59,5580.44,3,102,South
19-02-22,167415,166389,131139,1954,8715,376,10096,1728,6652,1115,361,447,29017.94,20847.68,17628.38,10,102,South
26-02-22,115202,238507,124345,4479,18,10818,1107,10537,10483,326,1538,97,3834.32,27198.72,31411.96,2,105,Central
26-02-22,7945,443487,60910,1297,6463,3953,149,3150,12088,261,150,1171,58650.89,18293.83,1828.28,3,102,South
26-02-22,218450,136141,242477,2752,7313,1718,11249,7306,340,1572,6,177,21754.18,31926.23,11437.59,7,102,South
26-02-22,214729,113597,251242,6035,2672,2466,5000,16014,1504,112,1483,464,41871.67,7223.27,30714.06,7,101,North
26-02-22,25642,85456,439768,2246,4170,4421,4625,8992,4560,13,1165,656,12763.18,9986.16,37311.66,11,105,Central
26-02-22,54817,205006,306946,1240,10602,207,11674,779,2999,174,238,1215,1788.98,23295.81,44654.21,5,103,East
26-02-22,112113,32047,341099,2828,846,8336,17916,732,2192,1109,857,99,12989.77,57883.84,3191.39,1,101,North
26-02-22,123867,234664,174746,8054,798,3169,9963,943,10956,10,1294,621,24153.17,12583.43,40097.4,12,105,Central
26-02-22,212428,87161,246479,2990,5777,3219,549,12571,4618,882,617,443,13972.15,30128.88,11921.97,7,103,East
26-02-22,209242,160536,152722,8264,5887,109,4059,6563,13176,347,509,768,13337.5,3745.57,50137.93,12,103,East
26-02-22,63301,76964,262054,3069,2816,9902,1530,19376,3687,1340,157,595,50260.63,15508.84,1308.53,6,103,East
26-02-22,77870,330091,14512,9470,3070,36,6333,13090,4936,324,444,536,5014.63,68111.66,2777.71,3,102,South
26-02-22,176943,9312,274419,1614,4770,6366,11633,4569,7118,522,779,793,26662.57,44784.42,2397.01,3,101,North
26-02-22,248810,226474,31598,1807,1379,8024,3745,10097,9083,1002,3,446,54091.9,13541.4,1970.7,1,105,Central
26-02-22,38697,179209,184926,891,4035,6397,2158,11303,2043,1401,105,11,4936.12,61257.85,2213.03,11,101,North
26-02-22,135962,203415,191283,493,3762,6093,4496,9238,8348,1400,436,220,52206.2,12247.92,1661.88,5,102,South
26-02-22,84874,398183,35797,1616,893,10509,2105,6032,10198,284,1084,754,14455.9,1207.4,43496.7,9,105,Central
26-02-22,74392,107885,221578,1644,782,7728,1722,7402,8975,315,778,317,37184.5,4411.27,20495.23,8,101,North
26-02-22,225455,204974,141565,5777,2963,1842,4844,9329,9513,871,355,101,27267.61,14042.55,23940.84,8,104,West
26-02-22,139997,121414,304135,2969,114,11088,9260,62,14825,893,172,382,7940.46,2690.37,51747.17,8,101,North
26-02-22,139703,168686,156449,1684,1178,7258,12364,3360,7144,1417,71,442,12637.27,57197.31,2780.42,10,105,Central
26-02-22,356320,112477,30809,9818,15,882,8200,12639,1929,629,379,646,13770.82,37055.64,7203.54,6,105,Central
26-02-22,343615,36083,40478,3559,7352,1584,8568,5093,8385,50,1327,228,27496.91,5514.41,36905.68,5,105,Central
26-02-22,326416,12780,126960,3022,6727,2526,9958,3691,1925,1631,385,126,49291.25,17896.34,1623.41,1,103,East
05-03-22,27197,366410,55536,8154,1227,2278,3748,1686,9587,739,44,1110,14656.55,40572.34,13136.11,11,104,West
05-03-22,24070,289561,211425,1001,5964,3979,2157,188,17234,549,1156,293,9678.68,6058.55,40574.77,8,105,Central
05-03-22,94184,54843,271324,1652,9989,3425,939,19536,2190,912,368,170,45309.54,11555.2,4901.26,1,104,West
05-03-22,6063,13402,394239,8128,325,2920,2758,1561,15940,61,224,1325,23137.27,9266.75,40096.98,6,105,Central
05-03-22,104059,11000,359651,3618,6106,372,14192,227,4101,682,224,594,24455.69,24750.05,12384.26,3,101,North
05-03-22,24153,247631,246943,4993,5571,893,757,2388,16239,260,790,635,12156.68,33628.6,10000.72,6,103,East
05-03-22,66361,273955,114098,1745,1063,9376,14862,2995,3602,210,389,1347,2485.09,57639.45,1704.46,6,103,East
